"Dist Adm Res";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Água Rasa";3965;4142;4323;4509;4702;4897;4785;4674
"Alto de Pinheiros";1766;1768;1769;1770;1771;1769;1727;1684
"Anhanguera";5062;5183;5300;5414;5526;5634;5711;5785
"Aricanduva";5071;5137;5198;5259;5318;5374;5271;5171
"Artur Alvim";6168;6218;6262;6305;6347;6382;6255;6129
"Barra Funda";726;781;838;901;965;1033;1018;1002
"Bela Vista";2695;2962;3245;3546;3864;4196;4157;4110
"Belém";2553;2838;3153;3493;3865;4267;4164;4059
"Bom Retiro";2140;2303;2476;2658;2851;3055;3004;2949
"Brás";1702;1909;2138;2389;2667;2971;2891;2806
"Brasilândia";19769;20611;21471;22350;23250;24167;23926;23675
"Butantã";2339;2440;2546;2651;2755;2864;2811;2754
"Cachoeirinha";10159;10485;10818;11151;11487;11824;11617;11411
"Cambuci";2102;2195;2291;2391;2493;2598;2558;2515
"Campo Belo";3161;3248;3338;3427;3513;3602;3505;3411
"Campo Grande";5688;5775;5859;5942;6022;6099;5986;5872
"Campo Limpo";15402;15701;15992;16276;16553;16823;16644;16463
"Cangaíba";8360;8672;8990;9312;9635;9967;9809;9650
"Capão Redondo";19806;20435;21064;21698;22335;22971;22793;22603
"Carrão";3983;4092;4199;4308;4419;4528;4460;4392
"Casa Verde";4730;4943;5162;5385;5616;5852;5740;5628
"Cidade Ademar";18544;19218;19900;20596;21303;22016;21750;21473
"Cidade Dutra";12847;13196;13540;13889;14235;14577;14383;14189
"Cidade Líder";8357;8560;8766;8969;9168;9369;9280;9188
"Cidade Tiradentes";17070;17263;17443;17611;17768;17913;17955;17993
"Consolação";1623;1742;1862;1986;2111;2239;2273;2298
"Cursino";5821;6028;6236;6446;6661;6876;6744;6611
"Ermelino Matarazzo";7820;7978;8134;8288;8437;8586;8470;8353
"Freguesia do Ó";7694;8005;8326;8650;8977;9312;9139;8963
"Grajaú";27807;28621;29442;30251;31069;31873;31600;31304
"Guaianases";7722;7940;8160;8380;8599;8820;8754;8685
"Iguatemi";9845;10220;10604;10991;11386;11784;11830;11874
"Ipiranga";5619;5834;6052;6274;6501;6732;6620;6509
"Itaim Bibi";4169;4385;4603;4826;5049;5273;5145;5013
"Itaim Paulista";16655;16968;17272;17569;17862;18146;17991;17833
"Itaquera";14055;14375;14692;15004;15317;15624;15407;15189
"Jabaquara";13477;13851;14222;14596;14967;15337;15043;14749
"Jaçanã";6193;6202;6208;6210;6210;6205;6134;6064
"Jaguara";1276;1316;1355;1396;1437;1478;1447;1414
"Jaguaré";3217;3312;3406;3501;3595;3691;3640;3590
"Jaraguá";13197;13694;14195;14706;15224;15747;15720;15686
"Jardim Ângela";24364;24930;25489;26041;26583;27114;26967;26806
"Jardim Helena";10190;10490;10793;11097;11399;11704;11564;11424
"Jardim Paulista";3250;3461;3678;3899;4128;4360;4306;4248
"Jardim São Luís";18792;19436;20082;20736;21396;22056;21826;21583
"José Bonifácio";8658;8642;8621;8592;8553;8508;8463;8413
"Lajeado";12844;13130;13410;13687;13962;14228;14121;14011
"Lapa";2983;3085;3190;3296;3400;3508;3432;3359
"Liberdade";3109;3321;3541;3770;4008;4253;4166;4077
"Limão";4723;4956;5195;5444;5699;5961;5847;5733
"Mandaqui";5645;5811;5977;6143;6314;6483;6382;6279
"Marsilac";607;589;571;552;534;515;520;525
"Moema";3754;3845;3934;4021;4103;4182;4100;4017
"Mooca";3662;3841;4025;4217;4414;4618;4536;4454
"Morumbi";2578;2764;2962;3172;3393;3628;3577;3526
"Parelheiros";10323;10764;11214;11674;12142;12616;12661;12701
"Pari";1071;1157;1250;1348;1453;1564;1541;1517
"Parque do Carmo";4808;4906;5002;5097;5191;5282;5204;5125
"Pedreira";10872;10954;11031;11098;11157;11210;11173;11132
"Penha";6672;6897;7123;7355;7591;7830;7692;7552
"Perdizes";4726;4856;4981;5102;5221;5337;5274;5206
"Perus";6001;6253;6510;6775;7044;7318;7286;7251
"Pinheiros";2603;2718;2835;2952;3066;3184;3123;3054
"Pirituba";10146;10403;10661;10920;11175;11432;11237;11043
"Ponte Rasa";5508;5565;5618;5668;5717;5760;5649;5538
"Raposo Tavares";6957;7263;7576;7898;8224;8559;8418;8273
"República";2391;2626;2878;3147;3432;3737;3667;3591
"Rio Pequeno";7283;7818;8386;8984;9612;10278;10054;9829
"Sacomã";15650;15896;16134;16366;16592;16809;16591;16374
"Santa Cecília";3542;3810;4093;4388;4701;5027;4957;4883
"Santana";4971;5231;5499;5774;6058;6351;6224;6094
"Santo Amaro";3297;3391;3486;3583;3677;3777;3695;3617
"São Domingos";5221;5276;5328;5378;5426;5471;5381;5292
"São Lucas";8129;8147;8164;8174;8179;8181;8080;7977
"São Mateus";10002;10272;10543;10812;11078;11349;11154;10960
"São Miguel";5833;6160;6498;6853;7220;7599;7451;7299
"São Rafael";11039;11067;11089;11103;11105;11105;11089;11071
"Sapopemba";19073;19456;19828;20199;20564;20919;20622;20319
"Saúde";5610;5852;6097;6345;6597;6850;6697;6542
"Sé";1183;1369;1579;1819;2089;2393;2337;2276
"Socorro";1733;1810;1889;1971;2055;2142;2091;2040
"Tatuapé";3979;4147;4320;4496;4679;4864;4796;4729
"Tremembé";13207;13795;14398;15021;15661;16316;16269;16217
"Tucuruvi";4531;4660;4788;4917;5048;5176;5087;4998
"Vila Andrade";10056;10138;10217;10286;10345;10400;10455;10510
"Vila Curuçá";10497;10618;10734;10843;10943;11041;10961;10877
"Vila Formosa";4815;4901;4984;5067;5149;5229;5164;5099
"Vila Guilherme";2876;3075;3287;3508;3741;3986;3902;3819
"Vila Jacuí";10343;10162;9981;9791;9598;9404;9350;9292
"Vila Leopoldina";2323;2358;2392;2425;2455;2484;2437;2387
"Vila Maria";7248;7537;7837;8138;8445;8758;8598;8437
"Vila Mariana";4904;5178;5459;5744;6034;6329;6258;6180
"Vila Matilde";5792;5886;5978;6070;6160;6248;6151;6055
"Vila Medeiros";7721;7931;8143;8354;8563;8773;8588;8402
"Vila Prudente";5432;5543;5654;5763;5870;5976;5880;5786
"Vila Sônia";6528;6861;7208;7567;7940;8325;8211;8095
